,price_x,type_x,address_x,url,agent_url,number_bedrooms,District Name,Latitude,Longitude,Latitude_a,Longitude_a,county,Postcode_complete,suburb,Cluster Label,address,price_y,type_y,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue
0,5265,3 bedroom maisonette,"Abingdon Road, High Street Kensington, London W8",http://www.rightmove.co.uk/property-to-rent/property-86186588.html,http://www.rightmove.co.uk/estate-agents/agent/Interlet-international-lettings/London-76342.html,3.0,Kensington,51.5073219,-0.1276474,51.5016,-0.2133,,W8,,2,"Abingdon Road, High Street Kensington, London W8",5265,3 bedroom maisonette,Hotel,Gym / Fitness Center,Garden,Bike Rental / Bike Share,Gastropub,Middle Eastern Restaurant,Train Station,Café,Gym,Grocery Store,Park,Tennis Court,Farmers Market,Shopping Mall,Bar,Tailor Shop,Breakfast Spot,Outdoor Sculpture,Supermarket,Movie Theater
1,1500,1 bedroom apartment,"Askew Road, London, W12",http://www.rightmove.co.uk/property-to-rent/property-75375874.html,http://www.rightmove.co.uk/estate-agents/agent/Haus-Properties/Shepherds-Bush-124024.html,1.0,Shepherds Bush,51.5073219,-0.1276474,51.5052325,-0.2444416,London Borough of Hammersmith and Fulham,W12 9HD,Brook Green,4,"Askew Road, London, W12",1500,1 bedroom apartment,Grocery Store,Pub,Fast Food Restaurant,Hotel,Bakery,Café,Indian Restaurant,Coffee Shop,Dry Cleaner,Breakfast Spot,Fish & Chips Shop,Moroccan Restaurant,Bus Stop,Pizza Place,Chinese Restaurant,Mediterranean Restaurant,Middle Eastern Restaurant,Thai Restaurant,Hostel,Park
2,1278,Studio flat,"Montagu Row, Marylebone, London W1U",http://www.rightmove.co.uk/property-to-rent/property-66828621.html,http://www.rightmove.co.uk/estate-agents/agent/Solmet-Properties/London-56952.html,0.0,,,,51.5085,-0.1257,,W1U,,0,"Montagu Row, Marylebone, London W1U",1278,Studio flat,Theater,Hotel,Pub,French Restaurant,Pizza Place,Ice Cream Shop,Plaza,Garden,Wine Bar,Steakhouse,Outdoor Sculpture,Arts & Crafts Store,Mexican Restaurant,Cocktail Bar,Coffee Shop,Asian Restaurant,English Restaurant,Art Museum,Restaurant,Sushi Restaurant
3,2200,2 bedroom flat,"Granville Square, London, WC1X",http://www.rightmove.co.uk/property-to-rent/property-66768849.html,http://www.rightmove.co.uk/estate-agents/agent/London-Residential/Camden---Lettings-160841.html,2.0,,,,51.5085,-0.1257,,WC1X,,0,"Granville Square, London, WC1X",2200,2 bedroom flat,Theater,Hotel,Pub,French Restaurant,Pizza Place,Ice Cream Shop,Plaza,Garden,Wine Bar,Steakhouse,Outdoor Sculpture,Arts & Crafts Store,Mexican Restaurant,Cocktail Bar,Coffee Shop,Asian Restaurant,English Restaurant,Art Museum,Restaurant,Sushi Restaurant
4,1560,2 bedroom flat,"Candida Court, Clarence Way, London, NW1",http://www.rightmove.co.uk/property-to-rent/property-54797217.html,http://www.rightmove.co.uk/estate-agents/agent/London-Residential/Camden---Lettings-160841.html,2.0,Head district,51.4893335,-0.1440551,51.5406,-0.1433,,NW1,,1,"Candida Court, Clarence Way, London, NW1",1560,2 bedroom flat,Coffee Shop,Pub,Bar,Burger Joint,Vegetarian / Vegan Restaurant,Market,Music Venue,Ice Cream Shop,Italian Restaurant,Pizza Place,Café,Tea Room,Outdoor Sculpture,Fish & Chips Shop,Flea Market,Record Shop,Beer Bar,Cocktail Bar,Clothing Store,Greek Restaurant
5,1800,3 bedroom terraced house,"Thorold Road, London, N22",http://www.rightmove.co.uk/property-to-rent/property-87204146.html,http://www.rightmove.co.uk/estate-agents/agent/Blackstone-Estates/Haringey-210554.html,3.0,Wood Green,51.514947,-0.0930461,51.6056625,-0.1188412,London Borough of Haringey,N22 8NB,,15,"Thorold Road, London, N22",1800,3 bedroom terraced house,Coffee Shop,Greek Restaurant,Market,Beer Bar,Gourmet Shop,Breakfast Spot,Grocery Store,Café,Bakery,Metro Station,Field,Flea Market,Fast Food Restaurant,Film Studio,Fish & Chips Shop,Farmers Market,Fish Market,Filipino Restaurant,Zoo Exhibit,Flower Shop
6,900,Studio flat,"Ravenstone Road, Wood Green, London, N8",http://www.rightmove.co.uk/property-to-rent/property-87204716.html,http://www.rightmove.co.uk/estate-agents/agent/Hemmingfords/London-201083.html,0.0,Hornsey,37.1289771,-84.0832646,51.5875,-0.122,,N8,,19,"Ravenstone Road, Wood Green, London, N8",900,Studio flat,Pub,Italian Restaurant,Pizza Place,Mediterranean Restaurant,Bakery,Park,Farmers Market,Thai Restaurant,Supermarket,Food Truck,Food Stand,Fried Chicken Joint,Falafel Restaurant,French Restaurant,Farm,Fountain,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio
7,1712,1 bedroom flat,"Rutherford Street, Westminster, London, SW1P",http://www.rightmove.co.uk/property-to-rent/property-87204698.html,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Pimlico-84889.html,1.0,,,,51.5085,-0.1257,,SW1P,,0,"Rutherford Street, Westminster, London, SW1P",1712,1 bedroom flat,Theater,Hotel,Pub,French Restaurant,Pizza Place,Ice Cream Shop,Plaza,Garden,Wine Bar,Steakhouse,Outdoor Sculpture,Arts & Crafts Store,Mexican Restaurant,Cocktail Bar,Coffee Shop,Asian Restaurant,English Restaurant,Art Museum,Restaurant,Sushi Restaurant
8,3879,3 bedroom flat,"Tregunter Road, Chelsea, London, SW10",http://www.rightmove.co.uk/property-to-rent/property-66828255.html,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Earls-Court-108515.html,3.0,West Brompton,51.4893335,-0.1440551,51.487347,-0.1849588,Royal Borough of Kensington and Chelsea,SW10 9LB,Brompton,1,"Tregunter Road, Chelsea, London, SW10",3879,3 bedroom flat,Pub,Italian Restaurant,French Restaurant,Garden,Café,Hotel,Tapas Restaurant,Bakery,Pizza Place,Coffee Shop,Cocktail Bar,Sandwich Place,Bagel Shop,Sports Bar,Diner,Steakhouse,Gourmet Shop,Restaurant,Grilled Meat Restaurant,Bookstore
9,2579,2 bedroom flat,"Falcon Wharf, Battersea, London, SW11",http://www.rightmove.co.uk/property-to-rent/property-66038283.html,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Battersea-15966.html,2.0,Head district,51.4893335,-0.1440551,51.4703493,-0.1779553,London Borough of Wandsworth,SW11 3,Battersea,19,"Falcon Wharf, Battersea, London, SW11",2579,2 bedroom flat,Pub,Hotel,Park,Deli / Bodega,Gym / Fitness Center,Harbor / Marina,Pet Store,Heliport,Farmers Market,Bar,Bakery,Eastern European Restaurant,Pier,General College & University,Brewery,Grocery Store,Pizza Place,Asian Restaurant,Portuguese Restaurant,Dance Studio
